No. Etiqueta,Cantidad,Articulo,Marca,Modelo,No. De Serie,Estado,Caracteristicas,Ubicación Fisica,Observaciones,Encontrado,Encargado
6479,1,REPRODUCTOR DE DVD,SAMSUNG,C-350K,300923,BUENO,REPRODUCTOR DE DVD,SALA DIGITAL,S/O,0,Quique
6480,1,AMPLIFICADOR DE SONIDO,KRAMER,900XL,7.00E+12,BUENO,AMPLIFICADOR DE BOCINAS,SALA DIGITAL,S/O,0,Quique
6481,1,MEZCLADORA DE AUDIO,KRAMER,102MX,3090944656,BUENO,MEZCLADOR DE AUDIO DE 2 CANALES,SALA DIGITAL,S/O,0,Quique
6482,1,BOCINA,TOA,BS-1030B,N/A,BUENO,BOCINAS DE MURO,SALA DIGITAL,S/O,0,Quique
6483,1,BOCINA,TOA,BS-1030B,N/A,BUENO,BOCINAS DE MURO,SALA DIGITAL,S/O,0,Quique
6484,1,PROCESADOR DE AUDIO,N/A,MPC-M10BT,5249687,BUENO,PROCESADOR DE CONTROL,SALA DIGITAL,S/O,0,Quique
6485,1,VIDEO PROYECTOR,HITACHI,CP-A100,20560,BUENO,VIDEO PROYECTOR DE TIRO CORTO,SALA DIGITAL,S/O,0,Quique
6486,1,EQUIPO DE VIDEO CONFERENCIA,RADVISION,XT-1000,1036181307,BUENO,EQUIPO DE VIDEO CONFERENCIAS,SALA DIGITAL,S/O,0,Quique
6487,1,CAMARA ROBOTICA ,SONY,EVI-D100,152141,BUENO,CAMARA ROBOTICA PARA VIDEO CONFERENCIA,SALA DIGITAL,S/O,0,Quique
6489,1,MONITOR,LG,M2762DL,007RMZLDV901,BUENO,"MONITOR LCD 19""",SALA DIGITAL,S/O,0,Quique
6490,1,PIZARRON DIGITAL,GTCO,2177,77732706,BUENO,PIZARRON DIGITAL,SALA DIGITAL,S/O,0,Quique
6491,1,SWITCH,KRAMER,VP211K,9.10E+12,BUENO,SWITCH AUTOMATICO VGA,SALA DIGITAL,S/O,0,Quique
6493,1,NOBREAK,N/A,BSMAR1108,500530,BUENO,NOBREAK,SALA DIGITAL,S/O,0,Quique
6494,1,DISTRIBUIDORA DE VGA,KRAMER,VP200K,1.21E+13,BUENO,DISTRIBUIDORA DE VGA CON AUDIO,SALA DIGITAL,S/O,0,Quique
7888,1,REGULADOR,TDE,MAX1000,N/A,BUENO,REGULADOR DE EQUIPO DE COMPUTO,SALA DIGITAL,S/O,0,Quique
7898,1,ESCRITORIO,N/A,N/A,N/A,REGULAR,ESCRITORIO PEDESTAL DE AGLOMERADO CON FORMAICA NEGRA,SALA DE COMPUTO,S/O,0,Quique
7901,1,REGULADOR,TDE,MAX1000,N/A,BUENO,REGULADOR DE EQUIPO DE COMPUTO,UNIDAD DE INFORMATICA,S/O,0,Quique
7928,1,REGULADOR,SOLA ISB,MICROVOLT INET,E00B868A,BUENO,REGULADOR DE EQUIPO DE COMPUTO,UNIDAD DE INFORMATICA,S/O,0,Quique
7942,1,ESCRITORIO,OLIMPIC,23827,N/A,BUENO,ESCRITORIO PEDESTAL DE AGLOMERADO CON FORMAICA NEGRA,UNIDAD DE INFORMATICA; BIBLIOTECA,S/O,0,Quique
7954,1,ESCRITORIO,N/A,N/A,N/A,REGULAR,ESCRITORIO PEDESTAL DE AGLOMERADO CON FORMAICA NEGRA,UNIDAD DE INFORMATICA,S/O,0,Quique
7963,1,REGULADOR,SOLA ISB,MICROVOLT INET,E98B39972,BUENO,REGULADOR DE EQUIPO DE COMPUTO,SALA DIGITAL,S/O,0,Quique
7964,1,LAMPARA,DESING,N/A,N/A,REGULAR,LAMPARA CON PEDESTAL,SALA 2 RACK,S/O,0,Quique
7983,1,REGULADOR,SOLA ISB,MICROVOLT INET,E0OOE20266,BUENO,REGULADOR DE EQUIPO DE COMPUTO,SALA DIGITAL,S/O,0,Quique
8031,1,ESCRITORIO,N/A,N/A,N/A,BUENO,ESCRITORIO PEDESTAL DE AGLOMERADO CON FORMAICA NEGRA,UNIDAD DE INFORMATICA,S/O,0,Quique
8044,1,PANTALLA DE PROYECCION ELECTRICA,N/A,N/A,N/A,BUENO,PANTALLA DE PROYECCION ELECTRICA,SALA DE COMPUTO,S/O,0,Quique
8045,1,PINTARRON,ALFHER,N/A,N/A,BUENO,PINTARRON ALFHER,SALA DE COMPUTO,S/O,0,Quique
8050,1,BOCINA,AIWA,N/A,N/A,BUENO,BOCINA AIWA,SALA DE COMPUTO,S/O,0,Quique
8065,1,MESA,SIN MARCA,Sin Modelo,N/A,Bueno,Aglomerado c/Formaica Negra,UNIDAD DE INFORMATICA,S/O,0,Quique
8083,1,REGULADOR,TDE,MAX1000,N/A,BUENO,REGULADOR TDE MAX1000,SALA DIGITAL,S/O,0,Quique
8088,1,GRABADORA,SONY,CFD-S32,1239928,BUENO,GRABADORA SONY CFD-S32,SALA DIGITAL,S/O,0,Quique
8190,1,ESCRITORIO,N/A,N/A,N/A,BUENO,ESCRITORIO PEDESTAL DE AGLOMERADO CON FORMAICA NEGRA,SALA DE COMPUTO,S/O,0,Quique
8204,1,ROTAFOLIO,N/A,N/A,N/A,BUENO,ROTAFOLIO,SALA 2 RACK,S/O,0,Quique
